ProgramSection,ProgramSubSection,Activity,AgeGroup,Location,CourseCode,CourseComments,CourseDayofWeek,CourseDate,CourseTime
Seniors,Visual and Creative Arts,Acrylic Painting,All Ages,Evergreen Seniors Centre,167375,,Thu,Apr 17-Jun 12,9 a.m.-12 p.m.
Seniors,General Interest,Antique Discovery,All Ages,Evergreen Seniors Centre,167377,,Fri,May-30,12:30-3:30 p.m.
Seniors,Computers & Technology,Brain Fit,All Ages,Evergreen Seniors Centre,167386,,Tue/Thu,Apr 15-May 15,9:30-11:30 a.m.
Seniors,General Interest,Brain Gym and More,All Ages,Evergreen Seniors Centre,167387,,Tue,Apr 22-Jun 24,10-11:30 a.m.
Seniors,Active Living,Cardio Dance,All Ages,Evergreen Seniors Centre,167390,,Tue,Apr 15-Jun 24,2-3 p.m.
Seniors,Computers & Technology,Computer Maintenance - Keep it running smoothly,All Ages,Evergreen Seniors Centre,167391,"Make your computer running faster. Clean up - delete unneeded folders and files, delete cookies, clear your cache. Create system restore points, backup your computer, scanning and defragmenting hard drive, computer security  and  much more.",Thu,Apr 17-May 1,1-3 p.m.
Seniors,Computers & Technology,Computer Mentoring,All Ages,Evergreen Seniors Centre,167392,,Mon,Apr-14,1-3 p.m.
Seniors,Computers & Technology,Computer Mentoring,All Ages,Evergreen Seniors Centre,167393,,Mon,Apr-28,1-3 p.m.
Seniors,Computers & Technology,Computer Mentoring,All Ages,Evergreen Seniors Centre,167394,,Mon,May-05,1-3 p.m.
Seniors,Computers & Technology,Computer Mentoring,All Ages,Evergreen Seniors Centre,167395,,Mon,May-12,1-3 p.m.
Seniors,Computers & Technology,Computer Mentoring,All Ages,Evergreen Seniors Centre,167396,,Mon,May-19,1-3 p.m.
Seniors,Computers & Technology,Computer Mentoring,All Ages,Evergreen Seniors Centre,167397,,Mon,Jun-02,1-3 p.m.
Seniors,Computers & Technology,Computer Mentoring,All Ages,Evergreen Seniors Centre,167398,,Mon,Jun-09,1-3 p.m.
Seniors,Computers & Technology,Computer Mentoring,All Ages,Evergreen Seniors Centre,167399,,Mon,Jun-16,1-3 p.m.
Seniors,Computers & Technology,Computer Mentoring,All Ages,Evergreen Seniors Centre,167400,,Mon,Jun-23,1-3 p.m.
Seniors,Computers & Technology,Computer Mentoring,All Ages,Evergreen Seniors Centre,167401,,Mon,Jun-30,1-3 p.m.
Seniors,Computers & Technology,Computer Tablets,55-99 years,Evergreen Seniors Centre,167402,This course is to help the new iPad user naviagate through the functions of this type of computer tablet.  Please bring your iPad to class with you so you are ready to get started.,Thu,Apr 24-May 1,6-8 p.m.
Seniors,Computers & Technology,Computer Tablets,55-99 years,Evergreen Seniors Centre,167403,This course is to help the new ANDROID tablet user naviagate through the functions of this type of computer tablet.  Please bring your ANDROID TABLET to class with you so you are ready to get started.,Thu,May8-15,6-8 p.m.
Seniors,Computers & Technology,Computer Workshops: Digital Photo Primer,All Ages,Evergreen Seniors Centre,167404,"This course looks at the most common features found on digital cameras.  Topics include using the camera's menus and modes to take better pictures, downloading pictures onto your computer, and organizing them into folders and albums.",Fri,Jun-06,9 a.m.-12 p.m.
Seniors,Computers & Technology,Computer Workshops: Digital Photo Primer,All Ages,Evergreen Seniors Centre,167405,Let's learn how to use your computer software.  This workshop will cover how to understand your computer and use the applications with your camera.  A variety of software may discussed.,Fri,Jun-13,9 a.m.-12 p.m.
Seniors,Computers & Technology,Computer Workshops: Digital Photo Primer,All Ages,Evergreen Seniors Centre,167406,"et's make your photos wonderful! Use photo editing software to alter photos - brighten and darken, crop, remove red eye etc.  Add captions and special effects.  Learn how to change a picture's file size before emailing or uploading to a website.",Fri,Jun-20,9 a.m.-12 p.m.
Seniors,Computers & Technology,Computer Workshops: Going Online,All Ages,Evergreen Seniors Centre,167408,"Internet Basics : Are you new to the Internet and wonder what you're missing?  Have you tried going online but found it confusing? This introductory workshop will help guide you through the basics, like how to use an internet browser (the software that le",Fri,May-02,9 a.m.-12 p.m.
Seniors,Computers & Technology,Computer Workshops: Going Online,All Ages,Evergreen Seniors Centre,167409,"Email : Learn how to send messages and attachments (such as photos) through email.  It is a quick and efficient way to correspond with friends, family and businesses! Please note that, due to technical restrictions, it may not be possible to set up a new ",Fri,May-09,9 a.m.-12 p.m.
Seniors,Computers & Technology,Computer Workshops: Going Online,All Ages,Evergreen Seniors Centre,167410,Welcome to Facebook! Learn about key features of this popular website and how to use them to connect with friends and family. Facebook has several different ways to communicate - one of them is probably right for you! We will also discuss how to manage pr,Fri,Apr11-25,9 a.m.-12 p.m.
Seniors,Computers & Technology,Computers - File Management,All Ages,Evergreen Seniors Centre,167411,,Tue,May-27,1-4 p.m.
Seniors,Computers & Technology,Computers - Google,All Ages,Evergreen Seniors Centre,167413,,Wed,May7-14,1-3 p.m.
Seniors,Computers & Technology,Computers - Skype,All Ages,Evergreen Seniors Centre,167414,,Wed,May21-28,1-3 p.m.
Seniors,Computers & Technology,Computers - purchasing a computer,All Ages,Evergreen Seniors Centre,167415,Not sure what you should purchase for a computer?  This class will help you determine what you need to meet your technology requirements.,Thu,May-15,1-3 p.m.
Seniors,Computers & Technology,Computers - smartphone,55+ years,Evergreen Seniors Centre,167419,,Thu,Apr-17,6-8 p.m.
Seniors,Computers & Technology,Computers Getting Started I: BASIC I,All Ages,Evergreen Seniors Centre,167420,,Tue,Apr 22-May 13,1-3 p.m.
Seniors,Computers & Technology,Computers: Genealogy,55+ years,Evergreen Seniors Centre,167424,"Diving into your family history can be an amazing adventure!  In this workshop, you will get an overview of computer software and online resources that can make the journey easier and more fun.  Learn about various free and paid options to help you get st",Fri,May-30,9 a.m.-12 p.m.
Seniors,Computers & Technology,Computers: Genealogy,55+ years,Evergreen Seniors Centre,167425,"Do you feel like your family history has hit a wall? Is there a mystery you just can't seem to unravel? If there isn't, there will be! The challenges of uncovering the past are part of genealogy. Have more fun and less frustration by learning how to stay ",Fri,Jun-27,9 a.m.-12 p.m.
Seniors,Visual and Creative Arts,Fundamentals of Drawing,All Ages,Evergreen Seniors Centre,167449,,Tue,Apr 15-Jun 3,10 a.m.-12 p.m.
Seniors,General Interest,Garden Fresh - Large Box,All Ages,Evergreen Seniors Centre,167450,,Wed,May-21,1-2:30 p.m.
Seniors,General Interest,Garden Fresh - Large Box,All Ages,Evergreen Seniors Centre,167451,,Wed,Jun-18,12-2 p.m.
Seniors,General Interest,Garden Fresh - Large Box,All Ages,Evergreen Seniors Centre,167452,,Wed,Jul-16,12-2 p.m.
Seniors,General Interest,Garden Fresh - Large Box,All Ages,Evergreen Seniors Centre,167453,,Wed,Aug-20,12-2 p.m.
Seniors,General Interest,Garden Fresh - SMALL BOX,All Ages,Evergreen Seniors Centre,167454,,Wed,May-21,11:30 a.m.-2:30 p.m.
Seniors,General Interest,Garden Fresh - SMALL BOX,All Ages,Evergreen Seniors Centre,167455,,Wed,Jun-18,12-2 p.m.
Seniors,General Interest,Garden Fresh - SMALL BOX,All Ages,Evergreen Seniors Centre,167456,,Wed,Jul-16,12-2 p.m.
Seniors,General Interest,Garden Fresh - SMALL BOX,All Ages,Evergreen Seniors Centre,167457,,Wed,Aug-20,12-2 p.m.
Seniors,General Interest,Guelph Pride week,All Ages,Evergreen Seniors Centre,167458,"Through art and discussion, we will be exploring the role of sexuality throughout our lives, and the diversity of sexual identities and orientations in our communities. Presented by Guelph Pride and the AIDS Committee of Guelph and Wellington County, this",Tue,May-06,1-2:30 p.m.
Seniors,Computers & Technology,Microsoft Office - Excel,All Ages,Evergreen Seniors Centre,167459,,Fri,May-23,9 a.m.-12 p.m.
Seniors,Computers & Technology,Microsoft Office - Word,All Ages,Evergreen Seniors Centre,167460,,Fri,May-16,9 a.m.-12 p.m.
Seniors,Visual and Creative Arts,Painting With Pastels - Intermediate,All Ages,Evergreen Seniors Centre,167466,,Thu,Apr 17-Jun 5,1-3:30 p.m.
Seniors,General Interest,Piano Lessons,55-100 years,Evergreen Seniors Centre,167467,,Fri,Apr 25-Jun 20,12:30-1 p.m.
Seniors,General Interest,Piano Lessons,55-100 years,Evergreen Seniors Centre,167468,,Fri,Apr 25-Jun 20,1-1:30 p.m.
Seniors,General Interest,Piano Lessons,55-100 years,Evergreen Seniors Centre,167469,,Fri,Apr 25-Jun 20,1:30-2 p.m.
Seniors,General Interest,Piano Lessons,55-100 years,Evergreen Seniors Centre,167470,,Fri,Apr 25-Jun 20,2-2:30 p.m.
Seniors,General Interest,Piano Lessons,55-100 years,Evergreen Seniors Centre,167471,,Fri,Apr 25-Jun 20,2:30-3 p.m.
Seniors,General Interest,Piano Lessons,55-100 years,Evergreen Seniors Centre,167472,,Fri,Apr 25-Jun 20,3-3:30 p.m.
Seniors,Active Living,Pilates,55+ years,Evergreen Seniors Centre,167473,,Wed,Apr 23-Jun 25,2-3 p.m.
Seniors,Active Living,Qi Gong (Chi Kung),All Ages,Evergreen Seniors Centre,167474,,Mon,Apr 14-Jun 23,10:30 a.m.-12 p.m.
Seniors,Active Living,Qi Gong 2 (Chi Kung),All Ages,Evergreen Seniors Centre,167475,,Thu,Apr 17-Jun 26,11:15 a.m.-12:15 p.m.
Seniors,General Interest,Rightsizing Your Home and Posessions,All Ages,Evergreen Seniors Centre,167476,"Our Lives and Our 'Stuff' - Sorting it Out!  Are crowded closets, cupboards or a cluttered basement overwhelming you?  Perhaps it's time to clear out the 'stuff' that weighs you down, or is complicating your move to a smaller residence.  This workshop off",Wed,May-14,1-3 p.m.
Seniors,Active Living,Strength Training - Advanced,All Ages,Evergreen Seniors Centre,167482,,Mon,Apr 14-Jun 23,8:05-8:50 a.m.
