ProgramSection,ProgramSubSection,Activity,AgeGroup,Location,CourseCode,CourseComments,CourseDayofWeek,CourseDate,CourseTime
Seniors,Active Living,Chair Yoga,All Ages,Evergreen Seniors Centre,169142,,Wed,Jul 2-Aug 27,9:15-10:15 a.m.
Seniors,Active Living,Qi Gong (Chi Kung),All Ages,Evergreen Seniors Centre,167644,,Mon,Jul 7-Aug 25,10:30 a.m.-12 p.m.
Seniors,Active Living,Qi Gong 2 (Chi Kung),All Ages,Evergreen Seniors Centre,167645,,Thu,Jul 3-Aug 28,11 a.m.-12 p.m.
Seniors,Active Living,Strength Training- Beginner,All Ages,Evergreen Seniors Centre,167654,,Thu,Jul 3-Aug 28,8:55-9:40 a.m.
Seniors,Active Living,Strength Training- Beginner,All Ages,Evergreen Seniors Centre,167653,,Tue,Jul 8-Aug 26,8:55-9:40 a.m.
Seniors,Active Living,Strength Training - Intermediate,All Ages,Evergreen Seniors Centre,167650,,Thu,Jul 3-Aug 28,8:05-8:50 a.m.
Seniors,Active Living,Strength Training - Intermediate,All Ages,Evergreen Seniors Centre,167649,,Tue,Jul 8-Aug 26,8:05-8:50 a.m.
Seniors,Active Living,Strength Training - Intermediate/Advanced,All Ages,Evergreen Seniors Centre,167652,,Fri,Jul 4-Aug 29,8:55-9:40 a.m.
Seniors,Active Living,Strength Training - Intermediate/Advanced,All Ages,Evergreen Seniors Centre,167651,,Mon,Jul 7-Aug 25,8:55-9:40 a.m.
Seniors,Active Living,Strength Training - Advanced,All Ages,Evergreen Seniors Centre,167647,,Wed,Jul 2-Aug 27,8:05-8:50 a.m.
Seniors,Active Living,Strength Training - Advanced,All Ages,Evergreen Seniors Centre,167648,,Fri,Jul 4-Aug 29,8:05-8:50 a.m.
Seniors,Active Living,Strength Training - Advanced,All Ages,Evergreen Seniors Centre,167646,,Mon,Jul 7-Aug 25,8:05-8:50 a.m.
Seniors,Active Living,Yoga - All Levels,All Ages,Evergreen Seniors Centre,167656,,Fri,Jul 4-Aug 29,10:30 a.m.-12 p.m.
Seniors,Computers & Technology,Brain Fit,All Ages,Evergreen Seniors Centre,167634,,Thu/Tue,Jul 3-Aug 28,9:30-11:30 a.m.
Seniors,Computers & Technology,Computer Mentoring,All Ages,Evergreen Seniors Centre,167635,,Mon,Jul-07,1-3 p.m.
Seniors,Computers & Technology,Computer Mentoring,All Ages,Evergreen Seniors Centre,166394,,Mon,Jul-21,1-3 p.m.
Seniors,Computers & Technology,Computer Mentoring,All Ages,Evergreen Seniors Centre,166395,,Mon,Aug-11,1-3 p.m.
Seniors,Computers & Technology,Computer Mentoring,All Ages,Evergreen Seniors Centre,167636,,Mon,Aug-25,1-3 p.m.
Children/Youth,Independent Children Programs,Yoga for Teens,13-18 years,West End Community Centre,167539,,Mon,Jun 30-Aug 25,8:15-9 p.m.
Aquatics,Advanced Leadership,Aquatic Supervisor Training (AST),16+ years,Victoria Road Recreation Centre,164256,,Sat-Sun,Sep27-28,9 a.m.-6 p.m.
Aquatics,Advanced Leadership,LSS Standard First Aid  Recourse with CPR C & AED,16+ years,Victoria Road Recreation Centre,164258,Course hours:  Fri 6 - 10 p.m.;  Sat 9 a.m. - 7 p.m.,Fri-Sat,Jul11-12,6-10 p.m.
Aquatics,Advanced Leadership,LSS Standard First Aid  Recourse with CPR C & AED,16+ years,Victoria Road Recreation Centre,164259,"Course hours: Fri 5:30-9:30 p.m., Sat 9:30 a.m.- 7:30 p.m.",Fri-Sat,Aug22-23,5:30-9:30 p.m.
Aquatics,Advanced Leadership,LSS Standard First Aid  Recourse with CPR C & AED,16+ years,Victoria Road Recreation Centre,164260,Course hours:  Fri 6 - 10 p.m.;  Sat 9 a.m. - 7 p.m.,Fri-Sat,Sep19-20,6-10 p.m.
Aquatics,Advanced Leadership,LSS Standard First Aid Recertification with CPR C & AED,14+ years,Victoria Road Recreation Centre,164262,,Sat,Jul-12,9 a.m.-6 p.m.
Aquatics,Advanced Leadership,LSS Standard First Aid Recertification with CPR C & AED,14+ years,Victoria Road Recreation Centre,164263,,Sat,Aug-23,9:30 a.m.-6:30 p.m.
Aquatics,Advanced Leadership,LSS Standard First Aid Recertification with CPR C & AED,14+ years,Victoria Road Recreation Centre,164264,,Sat,Sep-20,9 a.m.-6 p.m.
Aquatics,Advanced Leadership,LSS Standard First Aid with CPR C & AED,14+ years,Victoria Road Recreation Centre,164266,,Sat-Sun,Jul12-13,9 a.m.-6 p.m.
Aquatics,Advanced Leadership,LSS Standard First Aid with CPR C & AED,14+ years,Victoria Road Recreation Centre,164267,,Sat-Sun,Aug23-24,9 a.m.-6 p.m.
Aquatics,Advanced Leadership,National Lifeguard Service (NLS) - Recertification,16+ years,Victoria Road Recreation Centre,164268,,Sun,Aug-24,9 a.m.-2 p.m.
Aquatics,Advanced Leadership,National Lifeguard Service (NLS) - Recertification,16+ years,Centennial Pool,164269,,Sat,Sep-27,10 a.m.-4 p.m.
Aquatics,Advanced Leadership,RC Water Safety Instructor - Recertification,16+ years,Centennial Pool,164307,,Fri,Sep-26,5-10 p.m.
Aquatics,Advanced Leadership,RC Assistant Water Safety Instructor + High Five - VRRC,15+ years,Victoria Road Recreation Centre,164312,"Course hours: Sat & Sun July 5, 6, Aug 16,17;  10 a.m. - 7 p.m.",Sat-Sun,Jul 5-Aug 17,10 a.m.-2 p.m.
